Sentence,location
AS관 11층 어떻게 가나여,as관
주차장 위치좀 알려줘,주차장
현 위치에서 가장 가까운 편의점!,편의점
울학교에 투썸이 있다는디 어디에 있음?,투썸
GS25,GS25
이마트 24 어디에 있어?,이마트 24
팀플하기 좋은 곳 추천 좀,팀플
경카가 어디임?,경카
GS25 ㅇㄷ?,GS25
그라찌에가 ㅇㄷ?,그라찌에
경제관에서 가장 가까운 편의점은 어디야?,편의점
R관하고 AS관 연결다리가 몇층인지 알려줄래?,
울 학교에서 프린트할거면 어디로 가야함?,프린트
학교에서 담배피려면 어디서 해야해?,담배
소정민 교수님 연구실이 어디야?,
로고스존이 어디인가여,로고스존
경제 D섹 섹방이 어디임?,경제 D섹 섹방
휴게실 위치를 알려줘,휴게실
현재 위치에서 가장 가까운 편의점이 어디야?,편의점
곤플이 어디인가여,곤플
K-GN 사잇길이 어디야?,
"경영학과 섹방 어딨어? ",섹방
AS관 어디야,AS관
엠마오 건물이 어디에 있지,엠마오
청광 어딨어?,청광
체육관 위치를 알려줘,체육관
대흥역 어디에 있을까,대흥역
ga관 위치가 궁금해,ga관
R관이 어디임?,R관
삼성 가브리엘 관이 어디야?,삼성 가브리엘 관
제이관 열람실 위치?,제이관 열람실
"파관 스룸이 어딤? ",파관 스룸
그라찌에가 어딨냐,그라찌에
로욜라 도서관 위치,로욜라 도서관
다산관 지도,다산관
최양업관이 어디에 있어?,최양업관
아담샬관 위치 알려줘,아담샬관
우정원 위치,우정원
이대역은 어디지,이대역
학교 성당 위치 지도에 보여줘,성당
우리 학교 도서관이 대체 어디야,도서관
아담샬관이 어디일까,아담샬관
메리홀이 어딨어?,메리홀
파관,파관
"청광이 어디야? ",청광
위치 알려줘 곤자가 플라자,곤자가 플라자
cy관이 어디야??,cy관
본관 어딤?,본관
j관 어디야,j관
룔라 어딤?,룔라
"제이관이 어딨어? ",제이관
신촌역 어디,신촌역
가까운 학교 내  편의점 알려줘,편의점
우정원의 위치를 알려줘,우정원
로욜라 도서관 위치,로욜라 도서관
떼관이 어디유?,떼관
엠마오관에 있는 동아리방 보통 어디로 가야돼?,엠마오관
로욜라 위치 알려줘,로욜라
하비에르관이 어디야?,하비에르관
곤플이 어디여?,곤플
우리학교 이마트24 어딨어?,이마트24
"k관 열람실 위치는? ",k관
"학교 한솥이 어디야? ",한솥
경카가 어디 있어?,경카
as관 로비가 오디임 ㅠ,as관
케이관,케이관
로욜라 1관 위치,로욜라 1관
로욜라 3관은 어디에 있어?,로욜라 3관
제이관 위치,제이관
AS관이 어디쯤에 있지,AS관
지엔관이 어디야?,지엔관
다산관 어디에 있지,다산관
R관 ㅇㄷ?,R관
리찌과학관 어디에요?,리찌과학관
대흥역이 어디있음?,대흥역
벨라르미노 기숙사 어디에 있어요?,벨라르미노 기숙사
곤자가홀이 ㅇㄷ?,곤자가홀
정문이 어디야?,정문
알바탑 위치 좀,알바탑
본관 위치가 어디야?,본관
지엔관 어디?,지엔관
예수회공동체가 어디에 있을까요?,예수회공동체
GA관 위치 플리즈,GA관
PA관 위치 알고 싶어,PA관
어디가 토모관이야?,토모관
마태오관 위치 아냐?,마태오관
메리홀 어디있어?,메리홀
성이냐시오관 어딧슈?,성이냐시오관
로욜라동산 어디여유?,로욜라동산
엠마오 위치 플리즈,엠마오
도서관 위치 알려줘,도서관
깃미 최영업관 위치,최양업관
X관 어딤?,X관
다산관 어디유?,다산관
곤자가학사 어디야?,곤자가학사
후문 위치 정보 알려줘,후문
곤플 위치?,곤플
TE관 어디?,TE관
정하상관 어디요?,정하상관
F관은 어디에 있나요?,F관
RA관 어데고?,RA관
운동장 위치가 궁금해,운동장
아담샬관 어디에 위치하고 있나요?,아담샬관
리찌과학관 위치좀,리찌과학관
예수회센터 위치 정보 알려줘,예수회센터
김대건관 어디?,김대건관
벨라 위치가 알고싶다,벨라
서강빌딩 어디야??????,서강빌딩
남문 어디에 위치해?,남문
아루페관 어딤?,아루페관
체육관 위치가 궁금해,체육관
청광 어딘교?,청광
우정원 어댜?,우정원
지하주차장 어디임?,지하주차장
서강대역 위치좀,서강대역
대흥역 어디?,대흥역
정문 어디있는지 알고싶어,정문
알바탑 어디있어?,알바탑
본관 어디임?,본관
GN관 위치좀,GN관
예수회공동체 위치,예수회공동체
GA관이 어디에 있을까요?,GA관
파관 ㅇㄷ?,파관
토마스모어관이 어디에 있어?,토마스모어관
마태오관이 어딘고?,마태오관
메리홀 위치정보좀,메리홀
성이냐시오관 위치?,성이냐시오관
로욜라동산 위치 좀,로욜라동산
엠마오관이 어디있어?,엠마오관
로욜라도서관 ㅇㄷ?,로욜라도서관
CY관이 어디?,CY관
하비에르관 위치 정보,하비에르관
다산관 위치 점,다산관
곤자가기숙사가 어디임?,곤자가기숙사
후문 ㅇㄷ?,후문
곤플 어디에 잇어?,곤플
떼이야르관 어디에 있나요?,떼이야르관
J관 위치좀,J관
F관 어디임?,F관
리찌별관 어디에 있음?,리찌별관
운동장 ㅇㄷ?,운동장
AS관 위치좀,AS관
R관 위치좀,R관
예수회센터가 어디야?,예수회센터
K관 위치가 알고싶다,K관
벨라르미노학사가 어디에 있나요?,벨라르미노학사
서강빌딩 어디에 위치해 있나요?,서강빌딩
남문이 어디임?,남문
아루페관 위치 정보좀,아루페관
체육관 어디?,체육관
청년광장 ㅇㄷ?,청년광장
우정원 위치 좀 알려주세요,우정원
지하주차장 어디에 있어?,지하주차장
서강대역 어디야?,서강대역
대흥역 위치 좀,대흥역
